"orderRef","status","payMethod","customer","createdAt","amount","amountPaid","site","cartItems"
"Order - 1583350293231","Paid","5e418d921c2bfe2f15f86a5f","5e41cb681c2bfe2f15f86a71",1583350293231,20000,20000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000}]"
"Order - 1583402770282","Paid","5e418d921c2bfe2f15f86a5f","5e41cb681c2bfe2f15f86a71",1583402770282,20000,20000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000}]"
"Order - 1583402992220","Paid","5e418d921c2bfe2f15f86a5f","5e41cb681c2bfe2f15f86a71",1583402992220,20000,20000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000}]"
"Order - 1583403273430","Paid","5e418d9c1c2bfe2f15f86a60","5e41cb681c2bfe2f15f86a71",1583403273430,20000,20000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000}]"
"Order - 1583403372614","Paid","5e418d921c2bfe2f15f86a5f","5e41cb681c2bfe2f15f86a71",1583403372614,20000,20000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000}]"
"Order - 1583403637001","Paid","5e418d9c1c2bfe2f15f86a60","5e41cb681c2bfe2f15f86a71",1583403637001,20000,20000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000}]"
"Order - 1583403736840","Paid","5e418d9c1c2bfe2f15f86a60","5e41cb681c2bfe2f15f86a71",1583403736840,20000,20000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000}]"
"Order - 1583403796906","Paid","5e418d921c2bfe2f15f86a5f","5e41ca171c2bfe2f15f86a70",1583403796906,20000,20000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000}]"
"Order - 1583405298567","Paid","5e418d921c2bfe2f15f86a5f","5e41cb681c2bfe2f15f86a71",1583405298567,22000,22000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":55,""amount"":22000}]"
"Order - 1583414027921","Paid","5e418d921c2bfe2f15f86a5f","5e41cb681c2bfe2f15f86a71",1583414027921,20000,20000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000}]"
"Order - 1583418510052","Paid","5e418d9c1c2bfe2f15f86a60","5e41cb681c2bfe2f15f86a71",1583418510052,20000,20000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000}]"
"Order - 1583419051983","Paid","5e418d9c1c2bfe2f15f86a60","5e41cb681c2bfe2f15f86a71",1583419051983,20000,20000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000}]"
"Order - 1583419407522","Paid","5e418d9c1c2bfe2f15f86a60","5e41cb681c2bfe2f15f86a71",1583419407522,20000,20000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000}]"
"Order - 1583419491897","Paid","5e418d851c2bfe2f15f86a5e","5e41cb681c2bfe2f15f86a71",1583419491897,20000,20000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000}]"
"Order - 1583423271397","Paid","5e418d921c2bfe2f15f86a5f","5e41cb681c2bfe2f15f86a71",1583423271397,20000,20000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000}]"
"Order - 1583424224501","Paid","5e418d921c2bfe2f15f86a5f","5e4116ea865c751fd4307d4a",1583424224501,97500,97500,"Okutukutu","[{""prodId"":""5e42abd31e2807574d4bf2c7"",""name"":""19L Fido Dispenser Replace"",""price"":1950,""qty"":50,""amount"":97500}]"
